gi|1000108|gb|AAA92500|	 melatonin receptor [Xenopus laevis]
gi|147904378|ref|NP_001080328|	 solute carrier family 7 (cationic amino acid transporter, y+ system), member 3 [Xenopus laevis]
gi|147904380|ref|NP_001080462|	 hypothetical protein LOC380154 [Xenopus laevis]
gi|147904382|ref|NP_001088153|	 lysozyme G-like 2 precursor [Xenopus laevis]
gi|147904384|ref|NP_001086911|	 family with sequence similarity 177, member A1 [Xenopus laevis]
gi|147904388|ref|NP_001089490|	 vacuolar ATPase assembly integral membrane protein VMA21 [Xenopus laevis]
gi|147904390|ref|NP_001080288|	 sideroflexin 3 [Xenopus laevis]
gi|147904392|ref|NP_001085581|	 beta-arrestin-2 [Xenopus laevis]
gi|147904396|ref|NP_001089776|	 aldo-keto reductase family 7, member A2 (aflatoxin aldehyde reductase) [Xenopus laevis]
gi|147904398|ref|NP_001088408|	 V-type proton ATPase subunit G 3 [Xenopus laevis]
gi|147904400|ref|NP_001086908|	 keratin 16 (focal non-epidermolytic palmoplantar keratoderma) [Xenopus laevis]
gi|147904402|ref|NP_001081956|	 tyrosine phosphatase Cdc25A [Xenopus laevis]
gi|147904409|ref|NP_001082444|	 calcium-binding mitochondrial carrier protein SCaMC-1-A [Xenopus laevis]
gi|147904411|ref|NP_001080334|	 transmembrane 4 L six family member 4 [Xenopus laevis]
gi|147904415|ref|NP_001088445|	 olfactomedin-like protein 3 [Xenopus laevis]
gi|147904417|ref|NP_001079572|	 tafazzin [Xenopus laevis]
gi|147904419|ref|NP_001084687|	 UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2 [Xenopus laevis]
gi|147904421|ref|NP_001089216|	 ADP-ribosylation factor-like 6 interacting protein 1 [Xenopus laevis]
gi|147904423|ref|NP_001080898|	 solute carrier family 22 (organic cation/carnitine transporter), member 5 [Xenopus laevis]
gi|147904425|ref|NP_001084823|	 malignant T cell-amplified sequence 1-B [Xenopus laevis]
gi|147904427|ref|NP_001090485|	 proteasome assembly chaperone 1 [Xenopus laevis]
gi|147904429|ref|NP_001091227|	 carbonic anhydrase XII [Xenopus laevis]
gi|147904431|ref|NP_001089201|	 GRB2-associated binding protein 1 [Xenopus laevis]
gi|147904433|ref|NP_001089563|	 uncharacterized protein LOC734619 precursor [Xenopus laevis]
gi|147904435|ref|NP_001084860|	 uncharacterized protein LOC431909 [Xenopus laevis]
gi|147904437|ref|NP_001080156|	 Sec61 beta subunit [Xenopus laevis]
gi|147904439|ref|NP_001089029|	 uncharacterized protein LOC503671 [Xenopus laevis]
gi|147904441|ref|NP_001086871|	 vesicle-associated membrane protein 7 [Xenopus laevis]
gi|147904443|ref|NP_001081543|	 kinesin-like protein KIF15-A [Xenopus laevis]
gi|147904445|ref|NP_001090448|	 transducin-like enhancer of split 1 (E(sp1) homolog) [Xenopus laevis]
gi|147904447|ref|NP_001085506|	 MGC80266 protein [Xenopus laevis]
gi|147904449|ref|NP_001083942|	 phosphatidylinositol-4-phosphate 5-kinase, type I, alpha [Xenopus laevis]
gi|147904451|ref|NP_001088873|	 uncharacterized protein LOC496217 [Xenopus laevis]
gi|147904455|ref|NP_001081780|	 arrestin-C [Xenopus laevis]
gi|147904457|ref|NP_001085066|	 mitochondrial enolase superfamily member 1 [Xenopus laevis]
gi|147904461|ref|NP_001086052|	 empty spiracles homeobox 2 [Xenopus laevis]
gi|147904463|ref|NP_001083789|	 synaptogyrin 1 [Xenopus laevis]
gi|147904467|ref|NP_001085694|	 rho GTPase-activating protein 32 [Xenopus laevis]
gi|147904469|ref|NP_001080401|	 Ubiquinol-cytochrome C reductase complex [Xenopus laevis]
gi|147904471|ref|NP_001079045|	 transcription factor Sox-12 [Xenopus laevis]
gi|147904475|ref|NP_001087905|	 chromosome 9 open reading frame 78 [Xenopus laevis]
gi|147904477|ref|NP_001086289|	 MGC84679 protein [Xenopus laevis]
gi|147904483|ref|NP_001081968|	 ataxia telangiectasia mutated [Xenopus laevis]
gi|147904487|ref|NP_001080434|	 proteasome assembly chaperone 2 [Xenopus laevis]
gi|147904489|ref|NP_001090506|	 stromal interaction molecule 1 precursor [Xenopus laevis]
gi|147904491|ref|NP_001081591|	 coilin [Xenopus laevis]
gi|147904493|ref|NP_001086565|	 abhydrolase domain containing 5 [Xenopus laevis]
gi|147904495|ref|NP_001090149|	 acyl-CoA oxidase 1, palmitoyl [Xenopus laevis]
gi|147904499|ref|NP_001081248|	 sodium/potassium-transporting ATPase subunit beta-3 [Xenopus laevis]
gi|147904501|ref|NP_001085197|	 peroxisomal membrane protein PEX16 [Xenopus laevis]
gi|147904503|ref|NP_001079908|	 cysteine-rich, angiogenic inducer, 61 precursor [Xenopus laevis]
gi|147904505|ref|NP_001079546|	 5-hydroxytryptamine (serotonin) receptor 3A precursor [Xenopus laevis]
gi|147904507|ref|NP_001085569|	 Rieske (Fe-S) domain containing [Xenopus laevis]
gi|147904509|ref|NP_001085639|	 transmembrane protein 209 [Xenopus laevis]
gi|147904511|ref|NP_001080346|	 enolase 3 [Xenopus laevis]
gi|147904513|ref|NP_001090246|	 UV radiation resistance associated [Xenopus laevis]
gi|147904515|ref|NP_001085436|	 dual specificity protein phosphatase 22 [Xenopus laevis]
gi|147904519|ref|NP_001088548|	 ectonucleoside triphosphate diphosphohydrolase 4 [Xenopus laevis]
gi|147904521|ref|NP_001089833|	 tetratricopeptide repeat protein 29 [Xenopus laevis]
gi|147904523|ref|NP_001079592|	 RNA terminal phosphate cyclase-like 1 [Xenopus laevis]
gi|147904525|ref|NP_001079818|	 thrombospondin 1 precursor [Xenopus laevis]
gi|147904527|ref|NP_001088690|	 uncharacterized protein LOC495954 [Xenopus laevis]
gi|147904529|ref|NP_001081599|	 tropomyosin [Xenopus laevis]
gi|147904531|ref|NP_001085572|	 protein kinase, AMP-activated, beta 1 non-catalytic subunit [Xenopus laevis]
gi|147904533|ref|NP_001080276|	 hsp90 co-chaperone Cdc37 [Xenopus laevis]
gi|147904537|ref|NP_001090570|	 mex-3 homolog C [Xenopus laevis]
gi|147904539|ref|NP_001079676|	 FERM domain-containing protein 8 [Xenopus laevis]
gi|147904545|ref|NP_001090166|	 transcription elongation factor A (SII), 3 [Xenopus laevis]
gi|147904549|ref|NP_001085214|	 uncharacterized protein LOC432308 [Xenopus laevis]
gi|147904551|ref|NP_001088795|	 fatty acid binding protein 7, brain [Xenopus laevis]
gi|147904553|ref|NP_001079925|	 protein snail homolog Sna [Xenopus laevis]
gi|147904555|ref|NP_001088597|	 tRNA-histidine guanylyltransferase 1-like [Xenopus laevis]
gi|147904559|ref|NP_001083664|	 fucosyltransferase 6 (alpha (1,3) fucosyltransferase) [Xenopus laevis]
gi|147904561|ref|NP_001081346|	 zinc finger protein ubi-d4 B [Xenopus laevis]
gi|147904563|ref|NP_001085295|	 methionyl aminopeptidase 2 [Xenopus laevis]
gi|147904573|ref|NP_001087434|	 transmembrane emp24 protein transport domain containing 7 precursor [Xenopus laevis]
gi|147904577|ref|NP_001091329|	 cdc42 effector protein (Rho GTPase binding) 4 [Xenopus laevis]
gi|147904579|ref|NP_001082208|	 type XVIII collagen alpha1 chain precursor [Xenopus laevis]
gi|147904583|ref|NP_001090373|	 electron transfer flavoprotein, alpha polypeptide [Xenopus laevis]
gi|147904585|ref|NP_001085431|	 SH3-domain GRB2-like endophilin B1 [Xenopus laevis]
gi|147904587|ref|NP_001085957|	 transcription factor 21 [Xenopus laevis]
gi|147904591|ref|NP_001089903|	 SNW domain containing 1 [Xenopus laevis]
gi|147904595|ref|NP_001086432|	 CD2-associated protein [Xenopus laevis]
gi|147904599|ref|NP_001085298|	 uncharacterized protein LOC443678 [Xenopus laevis]
gi|147904603|ref|NP_001080569|	 ATP-dependent RNA helicase DDX42 [Xenopus laevis]
gi|147904605|ref|NP_001089444|	 origin recognition complex, subunit 5 [Xenopus laevis]
gi|147904607|ref|NP_001082637|	 retinol-binding protein 3 precursor [Xenopus laevis]
gi|147904611|ref|NP_001080662|	 LIM and SH3 protein 1 [Xenopus laevis]
gi|147904613|ref|NP_001086324|	 retinal G protein coupled receptor [Xenopus laevis]
gi|147904619|ref|NP_001090016|	 HMP19 protein [Xenopus laevis]
gi|147904623|ref|NP_001083910|	 dapper 1-B [Xenopus laevis]
gi|147904625|ref|NP_001079850|	 dimethyladenosine transferase 1, mitochondrial [Xenopus laevis]
gi|147904627|ref|NP_001088722|	 hypothetical protein LOC495986 [Xenopus laevis]
gi|147904629|ref|NP_001086666|	 MGC80058 protein [Xenopus laevis]
gi|147904631|ref|NP_001079975|	 spermatogenesis associated, serine-rich 2 [Xenopus laevis]
gi|147904633|ref|NP_001088847|	 syntrophin, alpha 1 (dystrophin-associated protein A1, 59kDa, acidic component) [Xenopus laevis]
gi|147904637|ref|NP_001083997|	 adaptor-related protein complex 1, gamma 1 subunit [Xenopus laevis]
gi|147904641|ref|NP_001089623|	 uncharacterized protein LOC734683 [Xenopus laevis]
gi|147904643|ref|NP_001084672|	 SH3 domain-binding protein 4-A [Xenopus laevis]
gi|147904647|ref|NP_001089664|	 elongation factor RNA polymerase II [Xenopus laevis]
gi|147904649|ref|NP_001080134|	 ribosomal protein, large, P0 [Xenopus laevis]
gi|147904653|ref|NP_001084834|	 sorting nexin 1 [Xenopus laevis]
gi|147904655|ref|NP_001088419|	 uncharacterized protein LOC495278 [Xenopus laevis]
gi|147904657|ref|NP_001080250|	 ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1 [Xenopus laevis]
gi|147904659|ref|NP_001087754|	 chromosome 15 open reading frame 38 [Xenopus laevis]
gi|147904661|ref|NP_001085983|	 serpin peptidase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 1 precursor [Xenopus laevis]
gi|147904663|ref|NP_001080687|	 galactokinase 2 [Xenopus laevis]
gi|147904665|ref|NP_001086087|	 solute carrier family 16, member 3 (monocarboxylic acid transporter 4) [Xenopus laevis]
gi|147904669|ref|NP_001083076|	 CCAAT-enhancer binding protein delta [Xenopus laevis]
gi|147904671|ref|NP_001086853|	 fatty acid desaturase 2 [Xenopus laevis]
gi|147904673|ref|NP_001089836|	 uncharacterized protein LOC734902 [Xenopus laevis]
gi|147904675|ref|NP_001084883|	 cyclin G2 [Xenopus laevis]
gi|147904677|ref|NP_001085835|	 acidic (leucine-rich) nuclear phosphoprotein 32 family, member B [Xenopus laevis]
gi|147904684|ref|NP_001089652|	 engulfment and cell motility 2 [Xenopus laevis]
gi|147904686|ref|NP_001079158|	 cell adhesion molecule-related/down-regulated by oncogenes precursor [Xenopus laevis]
gi|147904688|ref|NP_001080860|	 arginine/serine-rich coiled-coil protein 2 [Xenopus laevis]
gi|147904690|ref|NP_001080811|	 cerebellin 2 precursor [Xenopus laevis]
gi|147904692|ref|NP_001089689|	 CCR4-NOT transcription complex subunit 7 [Xenopus laevis]
gi|147904696|ref|NP_001087115|	 ankyrin repeat and SOCS box containing 15 [Xenopus laevis]
gi|147904698|ref|NP_001081808|	 pyruvate dehydrogenase (lipoamide) beta [Xenopus laevis]
gi|147904702|ref|NP_001083558|	 mahogunin, ring finger 1 [Xenopus laevis]
gi|147904708|ref|NP_001083244|	 ubiquitin carboxyl-terminal hydrolase 16 [Xenopus laevis]
gi|147904712|ref|NP_001086778|	 glutathione S-transferase C-terminal domain-containing protein [Xenopus laevis]
gi|147904714|ref|NP_001083656|	 propionyl CoA carboxylase, beta polypeptide [Xenopus laevis]
gi|147904716|ref|NP_001081992|	 par-6 partitioning defective 6 homolog beta [Xenopus laevis]
gi|147904718|ref|NP_001080789|	 tubulin, alpha 6 [Xenopus laevis]
gi|147904720|ref|NP_001089667|	 pseudouridylate synthase 7 homolog [Xenopus laevis]
gi|147904722|ref|NP_001084715|	 N(alpha)-acetyltransferase 38, NatC auxiliary subunit [Xenopus laevis]
gi|147904724|ref|NP_001079427|	 mitochondrial import inner membrane translocase subunit Tim13-B [Xenopus laevis]
gi|147904726|ref|NP_001088853|	 tetratricopeptide repeat protein 33 [Xenopus laevis]
gi|147904728|ref|NP_001087483|	 twinfilin-1 [Xenopus laevis]
gi|147904730|ref|NP_001083922|	 frizzled-4 precursor [Xenopus laevis]
gi|147904732|ref|NP_001082256|	 signal transducer and activator of transcription 1, 91kDa [Xenopus laevis]
gi|147904734|ref|NP_001082000|	 beta-2-microglobulin precursor [Xenopus laevis]
gi|147904736|ref|NP_001089764|	 methylmalonic aciduria (cobalamin deficiency) cblB type [Xenopus laevis]
gi|147904738|ref|NP_001079870|	 twisted gastrulation protein homolog 1-B precursor [Xenopus laevis]
gi|147904744|ref|NP_001088589|	 pyridine nucleotide-disulphide oxidoreductase domain 2 [Xenopus laevis]
gi|147904746|ref|NP_001080248|	 thyrotrophic embryonic factor [Xenopus laevis]
gi|147904752|ref|NP_001089122|	 forkhead box protein N5 [Xenopus laevis]
gi|147904754|ref|NP_001087752|	 charged multivesicular body protein 2b-B [Xenopus laevis]
gi|147904756|ref|NP_001086513|	 cyclin-J [Xenopus laevis]
gi|147904758|ref|NP_001083766|	 fibroblast growth factor 20 [Xenopus laevis]
gi|147904760|ref|NP_001088699|	 uncharacterized protein LOC495963 [Xenopus laevis]
gi|147904762|ref|NP_001079280|	 nuclear receptor subfamily 2 group E member 1 [Xenopus laevis]
gi|147904764|ref|NP_001089514|	 UAP56-interacting factor [Xenopus laevis]
gi|147904766|ref|NP_001090561|	 testis specific, 14 [Xenopus laevis]
gi|147904770|ref|NP_001089253|	 non imprinted in Prader-Willi/Angelman syndrome 1 [Xenopus laevis]
gi|147904772|ref|NP_001090439|	 transmembrane protein 214-A [Xenopus laevis]
gi|147904774|ref|NP_001085497|	 Ras association (RalGDS/AF-6) domain family member 3 [Xenopus laevis]
gi|147904776|ref|NP_001080205|	 60S ribosomal protein L10a [Xenopus laevis]
gi|147904778|ref|NP_001084712|	 hormonally up-regulated neu tumor-associated kinase homolog A [Xenopus laevis]
gi|147904780|ref|NP_001079424|	 CWF19-like protein 1 [Xenopus laevis]
gi|147904782|ref|NP_001079147|	 transcription factor coe2-B [Xenopus laevis]
gi|147904784|ref|NP_001088373|	 uncharacterized protein LOC495222 [Xenopus laevis]
gi|147904786|ref|NP_001088145|	 histone-arginine methyltransferase CARM1 [Xenopus laevis]
gi|147904788|ref|NP_001080056|	 tubulin, alpha 1a [Xenopus laevis]
gi|147904790|ref|NP_001087558|	 transmembrane protein 93 [Xenopus laevis]
gi|147904792|ref|NP_001089294|	 uncharacterized protein LOC734342 [Xenopus laevis]
gi|147904796|ref|NP_001089981|	 vacuolar protein sorting 35 homolog [Xenopus laevis]
gi|147904798|ref|NP_001088612|	 WAS protein family homolog 1 [Xenopus laevis]
gi|147904802|ref|NP_001091135|	 alkaline phosphatase, intestinal, gene 1 precursor [Xenopus laevis]
gi|147904804|ref|NP_001082016|	 CHK2 checkpoint homolog [Xenopus laevis]
gi|147904808|ref|NP_001084017|	 eukaryotic translation initiation factor 4E [Xenopus laevis]
gi|147904810|ref|NP_001087578|	 protein APCDD1 [Xenopus laevis]
gi|147904812|ref|NP_001084444|	 protein orai-2 [Xenopus laevis]
gi|147904814|ref|NP_001081135|	 CWC25 spliceosome-associated protein [Xenopus laevis]
gi|147904816|ref|NP_001080739|	 F-box/SPRY domain-containing protein 1 [Xenopus laevis]
gi|147904818|ref|NP_001084935|	 uncharacterized protein LOC431992 [Xenopus laevis]
gi|147904822|ref|NP_001087688|	 insulin-induced gene 2 protein [Xenopus laevis]
gi|147904826|ref|NP_001083198|	 WD repeat-containing protein 1-B [Xenopus laevis]
gi|147904828|ref|NP_001086891|	 solute carrier family 5 (sodium iodide symporter), member 5 [Xenopus laevis]
gi|147904830|ref|NP_001087824|	 MGC86530 protein [Xenopus laevis]
gi|147904832|ref|NP_001079708|	 UTP6, small subunit (SSU) processome component, homolog [Xenopus laevis]
gi|147904834|ref|NP_001090030|	 denticleless protein homolog A [Xenopus laevis]
gi|147904836|ref|NP_001079222|	 potassium voltage-gated channel subfamily A member 2 [Xenopus laevis]
gi|147904838|ref|NP_001086035|	 exportin-2 [Xenopus laevis]
gi|147904844|ref|NP_001086272|	 LIM domain containing 2 [Xenopus laevis]
gi|147904846|ref|NP_001086747|	 UPF0577 protein KIAA1324-like homolog precursor [Xenopus laevis]
gi|147904850|ref|NP_001090325|	 pancreatic progenitor cell differentiation and proliferation factor B [Xenopus laevis]
gi|147904854|ref|NP_001085382|	 nucleoredoxin-like 2 [Xenopus laevis]
gi|147904856|ref|NP_001080091|	 RAC-beta serine/threonine-protein kinase A [Xenopus laevis]
gi|147904862|ref|NP_001086903|	 class V alcohol dehydrogenase [Xenopus laevis]
gi|147904866|ref|NP_001088818|	 proteinase 3 precursor [Xenopus laevis]
gi|147904870|ref|NP_001081121|	 collagen, type XVIII, alpha 1 precursor [Xenopus laevis]
gi|147904874|ref|NP_001080253|	 PRP8 pre-mRNA processing factor 8 homolog [Xenopus laevis]
gi|147904876|ref|NP_001089127|	 CPD photolyase-like [Xenopus laevis]
gi|147904878|ref|NP_001090390|	 COMM domain-containing protein 6 [Xenopus laevis]
gi|147904880|ref|NP_001085448|	 protein tyrosine phosphatase type IVA, member 2 [Xenopus laevis]
gi|147904882|ref|NP_001089087|	 glycoprotein (transmembrane) nmb precursor [Xenopus laevis]
gi|147904884|ref|NP_001090433|	 hypothetical protein LOC779345 [Xenopus laevis]
gi|147904886|ref|NP_001081796|	 proteasomal ATPase-associated factor 1 [Xenopus laevis]
gi|147904888|ref|NP_001091242|	 TAF11 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 28kDa [Xenopus laevis]
gi|147904890|ref|NP_001082122|	 F-box only protein 5-A [Xenopus laevis]
gi|147904894|ref|NP_001081147|	 tubulin, delta 1 [Xenopus laevis]
gi|147904896|ref|NP_001080802|	 E3 ubiquitin-protein ligase ZNRF1 [Xenopus laevis]
gi|147904898|ref|NP_001084729|	 mitogen-activated protein kinase kinase 5 [Xenopus laevis]
gi|147904900|ref|NP_001086628|	 NOP58 ribonucleoprotein homolog [Xenopus laevis]
gi|147904902|ref|NP_001085503|	 exostoses-like 2 [Xenopus laevis]
gi|147904904|ref|NP_001080211|	 carboxypeptidase A6 [Xenopus laevis]
gi|147904906|ref|NP_001085991|	 cytochrome c oxidase subunit IV isoform 1 [Xenopus laevis]
gi|147904914|ref|NP_001089124|	 uncharacterized protein LOC733419 [Xenopus laevis]
gi|147904918|ref|NP_001089337|	 hypothetical protein LOC734387 [Xenopus laevis]
gi|147904920|ref|NP_001081647|	 thymopoietin [Xenopus laevis]
gi|147904930|ref|NP_001084470|	 metaxin 1 [Xenopus laevis]
gi|147904932|ref|NP_001088393|	 G protein-coupled receptor 107 [Xenopus laevis]
gi|147904934|ref|NP_001084718|	 methyltransferase-like protein 13 [Xenopus laevis]
gi|147904938|ref|NP_001086341|	 enoyl CoA hydratase 1, peroxisomal [Xenopus laevis]
gi|147904940|ref|NP_001091334|	 PRP4 pre-mRNA processing factor 4 homolog B [Xenopus laevis]
gi|147904944|ref|NP_001086205|	 MGC84147 protein [Xenopus laevis]
gi|147904946|ref|NP_001079064|	 metalloproteinase inhibitor 3 precursor [Xenopus laevis]
gi|147904951|ref|NP_001085286|	 TRAF2 and NCK interacting kinase [Xenopus laevis]
gi|147904953|ref|NP_001087497|	 Rho GDP dissociation inhibitor (GDI) gamma [Xenopus laevis]
gi|147904957|ref|NP_001089084|	 forkhead box protein P4 [Xenopus laevis]
gi|147904959|ref|NP_001080792|	 inosine monophosphate dehydrogenase 1 [Xenopus laevis]
gi|147904961|ref|NP_001089670|	 neutrophil cytosolic factor 4, 40kDa [Xenopus laevis]
gi|147904963|ref|NP_001081541|	 60S ribosomal protein L22 [Xenopus laevis]
gi|147904965|ref|NP_001085500|	 MGC80249 protein [Xenopus laevis]
gi|147904967|ref|NP_001086663|	 ceroid-lipofuscinosis, neuronal 3 [Xenopus laevis]
gi|147904969|ref|NP_001090240|	 ubiquitin carboxyl-terminal hydrolase 22-B [Xenopus laevis]
gi|147904973|ref|NP_001087910|	 calpain, small subunit 1 [Xenopus laevis]
gi|147904975|ref|NP_001086671|	 deoxyribonuclease II, lysosomal precursor [Xenopus laevis]
gi|147904979|ref|NP_001084912|	 ankyrin repeat domain-containing protein 56 [Xenopus laevis]
gi|147904981|ref|NP_001087287|	 ribosomal protein L11 [Xenopus laevis]
gi|147904983|ref|NP_001082061|	 septin-2A [Xenopus laevis]
gi|147904989|ref|NP_001084505|	 zinc transporter ZIP9-A [Xenopus laevis]
gi|147904995|ref|NP_001085896|	 chromosome 21 open reading frame 70 [Xenopus laevis]
gi|147904999|ref|NP_001081431|	 zona pellucida protein D precursor [Xenopus laevis]
gi|147905001|ref|NP_001082689|	 aprataxin [Xenopus laevis]
